nameFirst,nameLast,playerID
Chad,Allen,allench01
Rick,Ankiel,ankieri01
David,Bell,bellda01
Mike,Bell,bellmi02
Marvin,Benard,benarma01
Gary,Bennett,bennega01
Larry,Bigbie,bigbila01
Barry,Bonds,bondsba01
Ricky,Bones,bonesri01
Kevin,Brown,brownke01
Paul,Byrd,byrdpa01
Ken,Caminiti,caminke01
Jose,Canseco,cansejo01
Mark,Carreon,carrema01
Jason,Christiansen,chrisja01
Howie,Clark,clarkho02
Roger,Clemens,clemero02
Paxton,Crawford,crawfpa02
Jack,Cust,custja01
Brendan,Donnelly,donnebr01
Chris,Donnels,donnech01
Lenny,Dykstra,dykstle01
Bobby,Estalella,estalbo02
Matt,Franco,francma01
Ryan,Franklin,frankry01
Eric,Gagne,gagneer01
Jason,Giambi,giambja01
Jeremy,Giambi,giambje01
Jay,Gibbons,gibboja01
Troy,Glaus,glaustr01
Jason,Grimsley,grimsja01
Jose,Guillen,guilljo01
Jerry,Hairston,hairsje02
Matt,Herges,hergema01
Phil,Hiatt,hiattph01
Glenallen,Hill,hillgl01
Darren,Holmes,holmeda01
Todd,Hundley,hundlto01
Ryan,Jorgensen,jorgery01
Wally,Joyner,joynewa01
Mike,Judd,juddmi01
David,Justice,justida01
Chuck,Knoblauch,knoblch01
Tim,Laker,lakerti01
Mike,Lansing,lansimi01
Paul,Lo Duca,loducpa01
Nook,Logan,loganno01
Josias,Manzanillo,manzajo01
Gary,Matthews,matthga02
Cody,McKay,mckayco01
Kent,Mercker,merckke01
Bart,Miadich,miadiba01
Hal,Morris,morriha02
Dan,Naulty,naultda01
Denny,Neagle,neaglde01
Rafael,Palmeiro,palmera01
Jim,Parque,parquji01
Andy,Pettitte,pettian01
Adam,Piatt,piattad01
Todd,Pratt,prattto02
Adam,Riggs,riggsad01
Armando,Rios,riosar01
Brian,Roberts,roberbr01
John,Rocker,rockejo01
Benito,Santiago,santibe01
Scott,Schoeneweis,schoesc01
David,Segui,seguida01
Gary,Sheffield,sheffga01
Mike,Stanton,stantmi02
Ricky,Stone,stoneri01
Miguel,Tejada,tejadmi01
Derrick,Turnbow,turnbde01
Ismael,Valdez,valdeis01
Mo,Vaughn,vaughmo01
Randy,Velarde,velarra01
Ron,Villone,villoro01
Fernando,Vina,vinafe01
Rondell,White,whitero02
Jeff,Williams,willije01
Matt,Williams,willima04
Todd,Williams,willito02
Steve,Woodard,woodast01
Kevin,Young,youngke01
Gregg,Zaun,zaungr01
Steve,Randolph,randost01
F. P.,Santangelo,santafp01
